Name,Year,F,M
Aashni,2004,4,0
Aashni,2007,3,0
Aashni,2011,4,0
Aashni,2012,3,0
Aashritha,2011,4,0
Aashvi,2009,6,0
Aashvi,2011,1,0
Aasia,1997,4,0
Aasia,1998,4,0
Aasia,2002,3,0
Aasia,2004,3,0
Aasia,2006,5,0
Aasia,2008,4,0
Aasia,2009,5,0
Aasia,2010,5,0
Aasia,2011,7,0
Aasif,2002,0,3
Aasif,2006,0,3
Aasim,1996,0,5
Aasim,1997,0,4
Aasim,1998,0,6
Aasim,1999,0,6
Aasim,2001,0,6
Aasim,2002,0,7
Aasim,2003,0,8
Aasim,2004,0,7
Aasim,2005,0,8
Aasim,2006,0,5
Aasim,2007,0,5
Aasim,2008,0,4
Aasim,2009,0,9
Aasim,2010,0,3
Aasim,2012,0,7
Aasiya,1996,3,0
Aasiya,1998,7,0
Aasiya,1999,5,0
Aasiya,2000,6,0
Aasiya,2001,4,0
Aasiya,2002,6,0
Aasiya,2003,9,0
Aasiya,2004,4,0
Aasiya,2005,8,0
Aasiya,2006,6,0
Aasiya,2007,4,0
Aasiya,2008,9,0
Aasiya,2009,12,0
Aasiya,2010,13,0
Aasiya,2011,14,0
Aasiya,2012,19,0
Aasiyah,1996,3,0
Aasiyah,1997,8,0
Aasiyah,1998,8,0
Aasiyah,1999,8,0
Aasiyah,2000,8,0
Aasiyah,2001,5,0
Aasiyah,2002,8,0
Aasiyah,2003,7,0
Aasiyah,2004,13,0
Aasiyah,2005,16,0
Aasiyah,2006,11,0
Aasiyah,2007,10,0
Aasiyah,2008,15,0
Aasiyah,2009,18,0
Aasiyah,2010,22,0
Aasiyah,2011,23,0
Aasiyah,2012,25,0
Aastha,2003,3,0
Aastha,2004,4,0
Aastha,2005,3,0
Aastha,2006,3,0
Aastha,2008,3,0
Aaston,2010,0,1
Aathavan,2010,0,3
Aathish,2012,0,3
Aathrey,2009,0,1
Aatif,1996,0,6
Aatif,1998,0,4
Aatif,1999,0,5
Aatif,2000,0,3
Aatif,2002,0,4
Aatif,2003,0,3
Aatif,2005,0,3
Aatif,2007,0,5
Aatif,2008,0,8
Aatif,2009,0,4
Aatifa,2009,3,0
Aatika,1997,3,0
Aatika,1998,3,0
Aatika,2004,3,0
Aatika,2005,3,0
Aatika,2006,4,0
Aatika,2009,3,0
Aatika,2011,3,0
Aatikah,1996,4,0
Aatikah,1999,4,0
