Name,F,M,Year
Aarun,0,4,2004
Aarun,0,4,2005
Aarun,0,4,2006
Aarun,0,3,2008
Aarun,0,4,2010
Aarush,0,3,2005
Aarush,0,7,2006
Aarush,0,22,2007
Aarush,0,27,2008
Aarush,0,25,2009
Aarush,0,45,2010
Aarush,0,49,2011
Aarushi,3,0,2002
Aarushi,3,0,2003
Aarushi,4,0,2004
Aarushi,5,0,2005
Aarushi,7,0,2006
Aarushi,13,0,2007
Aarushi,6,0,2008
Aarushi,12,0,2009
Aarushi,10,0,2010
Aarushi,10,0,2011
Aarvi,4,0,2010
Aarvin,0,3,2009
Aarya,3,0,2003
Aarya,5,0,2004
Aarya,4,0,2005
Aarya,6,5,2006
Aarya,5,4,2007
Aarya,12,0,2008
Aarya,15,3,2009
Aarya,18,8,2010
Aarya,28,3,2011
Aaryan,0,3,1998
Aaryan,0,3,1999
Aaryan,0,13,2002
Aaryan,0,13,2003
Aaryan,0,23,2004
Aaryan,0,40,2005
Aaryan,0,61,2006
Aaryan,0,55,2007
Aaryan,0,64,2008
Aaryan,0,78,2009
Aaryan,0,71,2010
Aaryan,0,78,2011
Aaryanna,3,0,2002
Aaryav,0,1,2009
Aaryn,0,2,2009
Aaryn,1,1,2010
Aaryn,0,3,2011
Aarzo,3,0,2008
Aarzoo,4,0,1999
Aarzoo,6,0,2000
Aarzoo,4,0,2001
Aarzoo,5,0,2002
Aarzoo,3,0,2003
Aarzoo,6,0,2005
Aarzoo,3,0,2010
Aarzu,3,0,2006
Aasha,3,0,2000
Aasha,4,0,2002
Aasha,4,0,2004
Aasha,3,0,2006
Aasha,3,0,2007
Aasha,3,0,2009
Aasha,3,0,2010
Aashdon,0,1,2010
Aashi,5,0,2005
Aashi,3,0,2006
Aashi,5,0,2007
Aashi,7,0,2008
Aashi,7,0,2009
Aashi,9,0,2010
Aashi,8,0,2011
Aashika,3,0,2006
Aashika,3,0,2007
Aashika,4,0,2008
Aashir,0,5,1999
Aashir,0,4,2004
Aashir,0,3,2005
Aashir,0,8,2006
Aashir,0,9,2007
Aashir,0,5,2008
Aashir,0,5,2009
Aashir,0,6,2010
Aashir,0,8,2011
Aashish,0,3,1997
Aashish,0,4,2001
Aashish,0,3,2006
Aashish,0,3,2007
Aashish,0,1,2009
Aashish,0,5,2010
Aashish,0,4,2011
Aashna,3,0,1998
Aashna,5,0,2005
Aashna,5,0,2006
Aashna,3,0,2007
Aashna,3,0,2008
Aashna,5,0,2009
Aashna,6,0,2010
Aashna,10,0,2011
Aashni,3,0,1998
Aashni,3,0,1999
Aashni,3,0,2003
Aashni,4,0,2004
Aashni,3,0,2007
Aashni,4,0,2011
Aashritha,4,0,2011
Aashvi,6,0,2009
Aasia,4,0,1997
Aasia,4,0,1998
Aasia,3,0,2002
Aasia,3,0,2004
Aasia,5,0,2006
Aasia,4,0,2008
Aasia,5,0,2009
Aasia,5,0,2010
Aasia,7,0,2011
Aasif,0,3,2002
Aasif,0,3,2006
Aasim,0,5,1996
Aasim,0,4,1997
Aasim,0,6,1998
Aasim,0,6,1999
Aasim,0,6,2001
Aasim,0,7,2002
Aasim,0,8,2003
Aasim,0,7,2004
Aasim,0,8,2005
Aasim,0,5,2006
Aasim,0,5,2007
Aasim,0,4,2008
Aasim,0,9,2009
Aasim,0,3,2010
Aasiya,3,0,1996
Aasiya,7,0,1998
Aasiya,5,0,1999
Aasiya,6,0,2000
Aasiya,4,0,2001
Aasiya,6,0,2002
Aasiya,9,0,2003
Aasiya,4,0,2004
Aasiya,8,0,2005
Aasiya,6,0,2006
Aasiya,4,0,2007
Aasiya,9,0,2008
Aasiya,12,0,2009
Aasiya,13,0,2010
Aasiya,14,0,2011
Aasiyah,3,0,1996
Aasiyah,8,0,1997
Aasiyah,8,0,1998
Aasiyah,8,0,1999
Aasiyah,8,0,2000
Aasiyah,5,0,2001
Aasiyah,8,0,2002
Aasiyah,7,0,2003
Aasiyah,13,0,2004
Aasiyah,16,0,2005
Aasiyah,11,0,2006
Aasiyah,10,0,2007
Aasiyah,15,0,2008
Aasiyah,18,0,2009
Aasiyah,22,0,2010
Aasiyah,23,0,2011
Aastha,3,0,2003
Aastha,4,0,2004
Aastha,3,0,2005
Aastha,3,0,2006
Aastha,3,0,2008
Aaston,0,1,2010
Aathavan,0,3,2010
Aathrey,0,1,2009
Aatif,0,6,1996
Aatif,0,4,1998
Aatif,0,5,1999
Aatif,0,3,2000
Aatif,0,4,2002
Aatif,0,3,2003
Aatif,0,3,2005
Aatif,0,5,2007
Aatif,0,8,2008
Aatif,0,4,2009
Aatifa,3,0,2009
Aatika,3,0,1997
Aatika,3,0,1998
Aatika,3,0,2004
Aatika,3,0,2005
Aatika,4,0,2006
Aatika,3,0,2009
Aatika,3,0,2011
Aatikah,4,0,1996
Aatikah,4,0,1999
Aatikah,3,0,2000
Aatikah,4,0,2001
Aatikah,3,0,2002
